"country","year","emissions_type","emissions"
"Australia",1933,"Oil",3.202
"Australia",1933,"Other",0
"Australia",1934,"Cement",0.207
"Australia",1934,"Coal",22.49
"Australia",1934,"Flaring",0
"Australia",1934,"Gas",0
"Australia",1934,"Oil",3.512
"Australia",1934,"Other",0
"Australia",1935,"Cement",0.276
"Australia",1935,"Coal",24.952
"Australia",1935,"Flaring",0
"Australia",1935,"Gas",0
"Australia",1935,"Oil",3.73
"Australia",1935,"Other",0
"Australia",1936,"Cement",0.323
"Australia",1936,"Coal",26.725
"Australia",1936,"Flaring",0
"Australia",1936,"Gas",0
"Australia",1936,"Oil",4.465
"Australia",1936,"Other",0
"Australia",1937,"Cement",0.363
"Australia",1937,"Coal",28.491
"Australia",1937,"Flaring",0
"Australia",1937,"Gas",0
"Australia",1937,"Oil",4.901
"Australia",1937,"Other",0
"Australia",1938,"Cement",0.178
"Australia",1938,"Coal",27.857
"Australia",1938,"Flaring",0
"Australia",1938,"Gas",0
"Australia",1938,"Oil",5.661
"Australia",1938,"Other",0
"Australia",1939,"Cement",0.338
"Australia",1939,"Coal",31.804
"Australia",1939,"Flaring",0
"Australia",1939,"Gas",0
"Australia",1939,"Oil",5.842
"Australia",1939,"Other",0
"Australia",1940,"Cement",0.349
"Australia",1940,"Coal",28.689
"Australia",1940,"Flaring",0
"Australia",1940,"Gas",0
"Australia",1940,"Oil",6.308
"Australia",1940,"Other",0
"Australia",1941,"Cement",0.342
"Australia",1941,"Coal",34.203
"Australia",1941,"Flaring",0
"Australia",1941,"Gas",0
"Australia",1941,"Oil",4.79
"Australia",1941,"Other",0
"Australia",1942,"Cement",0.28
"Australia",1942,"Coal",36.222
"Australia",1942,"Flaring",0
"Australia",1942,"Gas",0
"Australia",1942,"Oil",5.525
"Australia",1942,"Other",0
"Australia",1943,"Cement",0.196
"Australia",1943,"Coal",34.793
"Australia",1943,"Flaring",0
"Australia",1943,"Gas",0
"Australia",1943,"Oil",6.204
"Australia",1943,"Other",0
"Australia",1944,"Cement",0.218
"Australia",1944,"Coal",33.991
"Australia",1944,"Flaring",0
"Australia",1944,"Gas",0
"Australia",1944,"Oil",6.818
"Australia",1944,"Other",0
"Australia",1945,"Cement",0.349
"Australia",1945,"Coal",32.346
"Australia",1945,"Flaring",0
"Australia",1945,"Gas",0
"Australia",1945,"Oil",6.465
"Australia",1945,"Other",0
"Australia",1946,"Cement",0.363
"Australia",1946,"Coal",35.057
"Australia",1946,"Flaring",0
"Australia",1946,"Gas",0
"Australia",1946,"Oil",7.32
"Australia",1946,"Other",0
"Australia",1947,"Cement",0.443
"Australia",1947,"Coal",37.571
"Australia",1947,"Flaring",0
"Australia",1947,"Gas",0
"Australia",1947,"Oil",6.763
"Australia",1947,"Other",0
"Australia",1948,"Cement",0.509
"Australia",1948,"Coal",37.911
"Australia",1948,"Flaring",0
"Australia",1948,"Gas",0
"Australia",1948,"Oil",8.592
"Australia",1948,"Other",0
"Australia",1949,"Cement",0.531
"Australia",1949,"Coal",37.116
"Australia",1949,"Flaring",0
"Australia",1949,"Gas",0
"Australia",1949,"Oil",10.417
"Australia",1949,"Other",0
"Australia",1950,"Cement",0.632
"Australia",1950,"Coal",44.071
"Australia",1950,"Flaring",0
"Australia",1950,"Gas",0
"Australia",1950,"Oil",11.035
"Australia",1950,"Other",0
"Australia",1951,"Cement",0.611
"Australia",1951,"Coal",46.097
"Australia",1951,"Flaring",0
"Australia",1951,"Gas",0
"Australia",1951,"Oil",14.414
"Australia",1951,"Other",0
"Australia",1952,"Cement",0.672
"Australia",1952,"Coal",47.027
"Australia",1952,"Flaring",0
"Australia",1952,"Gas",0
"Australia",1952,"Oil",14.747
"Australia",1952,"Other",0
"Australia",1953,"Cement",0.789
"Australia",1953,"Coal",48.232
"Australia",1953,"Flaring",0
"Australia",1953,"Gas",0
"Australia",1953,"Oil",14.015
"Australia",1953,"Other",0
"Australia",1954,"Cement",0.945
"Australia",1954,"Coal",51.135
"Australia",1954,"Flaring",0
"Australia",1954,"Gas",0
"Australia",1954,"Oil",15.863
"Australia",1954,"Other",0
"Australia",1955,"Cement",0.985
"Australia",1955,"Coal",51.248
"Australia",1955,"Flaring",0
"Australia",1955,"Gas",0
"Australia",1955,"Oil",19.735
"Australia",1955,"Other",0
"Australia",1956,"Cement",1.058
"Australia",1956,"Coal",51.245
"Australia",1956,"Flaring",0
"Australia",1956,"Gas",0
"Australia",1956,"Oil",23.18
"Australia",1956,"Other",0
"Australia",1957,"Cement",1.148
"Australia",1957,"Coal",51.626
"Australia",1957,"Flaring",0
"Australia",1957,"Gas",0
"Australia",1957,"Oil",22.705
"Australia",1957,"Other",0
"Australia",1958,"Cement",1.214
"Australia",1958,"Coal",52.655
"Australia",1958,"Flaring",0
"Australia",1958,"Gas",0
"Australia",1958,"Oil",24.067
"Australia",1958,"Other",0
"Australia",1959,"Cement",1.294
"Australia",1959,"Coal",56.689
"Australia",1959,"Flaring",0
"Australia",1959,"Gas",0
"Australia",1959,"Oil",25.089
"Australia",1959,"Other",0
"Australia",1960,"Cement",1.381
"Australia",1960,"Coal",58.928
"Australia",1960,"Flaring",0
"Australia",1960,"Gas",0
"Australia",1960,"Oil",27.135
"Australia",1960,"Other",0
"Australia",1961,"Cement",1.414
"Australia",1961,"Coal",56.48
"Australia",1961,"Flaring",0
"Australia",1961,"Gas",0
"Australia",1961,"Oil",29.115
"Australia",1961,"Other",0
"Australia",1962,"Cement",1.45
"Australia",1962,"Coal",57.571
"Australia",1962,"Flaring",0
"Australia",1962,"Gas",0.004
"Australia",1962,"Oil",31.884
"Australia",1962,"Other",0
"Australia",1963,"Cement",1.541
"Australia",1963,"Coal",58.789
"Australia",1963,"Flaring",0
"Australia",1963,"Gas",0.007
"Australia",1963,"Oil",35.658
"Australia",1963,"Other",0
"Australia",1964,"Cement",1.792
"Australia",1964,"Coal",61.802
"Australia",1964,"Flaring",0
"Australia",1964,"Gas",0.007
"Australia",1964,"Oil",39.944
"Australia",1964,"Other",0
"Australia",1965,"Cement",1.879
"Australia",1965,"Coal",63.812
"Australia",1965,"Flaring",0
"Australia",1965,"Gas",0.007
"Australia",1965,"Oil",47.907
"Australia",1965,"Other",0
"Australia",1966,"Cement",1.817
"Australia",1966,"Coal",66.917
"Australia",1966,"Flaring",0
"Australia",1966,"Gas",0.007
"Australia",1966,"Oil",46.994
"Australia",1966,"Other",0
"Australia",1967,"Cement",1.89
"Australia",1967,"Coal",68.541
"Australia",1967,"Flaring",0
"Australia",1967,"Gas",0.007
"Australia",1967,"Oil",51.842
"Australia",1967,"Other",0
"Australia",1968,"Cement",1.941
"Australia",1968,"Coal",70.856
"Australia",1968,"Flaring",0
"Australia",1968,"Gas",0.011
"Australia",1968,"Oil",55.96
"Australia",1968,"Other",0
"Australia",1969,"Cement",2.13
"Australia",1969,"Coal",72.267
"Australia",1969,"Flaring",0
"Australia",1969,"Gas",0.487
"Australia",1969,"Oil",61.53
"Australia",1969,"Other",0
"Australia",1970,"Cement",2.228
"Australia",1970,"Coal",74.674
"Australia",1970,"Flaring",0
"Australia",1970,"Gas",2.755
"Australia",1970,"Oil",68.204
"Australia",1970,"Other",0
"Australia",1971,"Cement",2.314
"Australia",1971,"Coal",72.748
"Australia",1971,"Flaring",0
"Australia",1971,"Gas",4.1
"Australia",1971,"Oil",71.954
"Australia",1971,"Other",0
"Australia",1972,"Cement",2.436
"Australia",1972,"Coal",74
"Australia",1972,"Flaring",0
"Australia",1972,"Gas",5.844
"Australia",1972,"Oil",71.318
"Australia",1972,"Other",0
"Australia",1973,"Cement",2.591
"Australia",1973,"Coal",79.03
"Australia",1973,"Flaring",0
"Australia",1973,"Gas",6.485
"Australia",1973,"Oil",82.037
"Australia",1973,"Other",0
"Australia",1974,"Cement",2.568
"Australia",1974,"Coal",79.196
"Australia",1974,"Flaring",0
"Australia",1974,"Gas",7.709
"Australia",1974,"Oil",76.71
"Australia",1974,"Other",0
"Australia",1975,"Cement",2.473
"Australia",1975,"Coal",84.33
"Australia",1975,"Flaring",0
"Australia",1975,"Gas",8.369
"Australia",1975,"Oil",77.93
"Australia",1975,"Other",0
"Australia",1976,"Cement",2.494
"Australia",1976,"Coal",84.598
"Australia",1976,"Flaring",0
"Australia",1976,"Gas",9.259
"Australia",1976,"Oil",73.452
"Australia",1976,"Other",0
"Australia",1977,"Cement",2.474
"Australia",1977,"Coal",90.491
"Australia",1977,"Flaring",0
"Australia",1977,"Gas",11.051
"Australia",1977,"Oil",77.898
"Australia",1977,"Other",0
"Australia",1978,"Cement",2.459
"Australia",1978,"Coal",93.311
"Australia",1978,"Flaring",0
"Australia",1978,"Gas",13.802
"Australia",1978,"Oil",81.48
"Australia",1978,"Other",0
"Australia",1979,"Cement",2.581
"Australia",1979,"Coal",94.767
"Australia",1979,"Flaring",0
"Australia",1979,"Gas",15.286
"Australia",1979,"Oil",79.688
"Australia",1979,"Other",0
"Australia",1980,"Cement",2.652
"Australia",1980,"Coal",101.825
"Australia",1980,"Flaring",0
"Australia",1980,"Gas",17.671
"Australia",1980,"Oil",82.222
